distance,target_velocity,target_acceleration,actual_duration,,,,
25,400,100,0.83720784,,,,
25,400,200,0.6253679,,,,
25,400,300,0.41346864,,,,
25,400,400,0.4140833,,,,
25,400,500,0.41390606,,,,
25,400,600,0.20168844,,,,
25,400,700,0.20148864,,,,
25,400,800,0.20157284,,,,
25,400,900,0.20139326,,,,
25,400,1000,0.20168078,,,,
25,500,100,0.83723356,,,,
25,500,200,0.62514934,,,,
25,500,300,0.41353516,,,,
25,500,400,0.41377788,,,,
25,500,500,0.41332194,,,,
25,500,600,0.20161568,,,,
25,500,700,0.201669,,,,
25,500,800,0.20171024,,,,
25,500,900,0.2017033,,,,
25,500,1000,0.20175676,,,,
25,600,100,0.83772198,,,,
25,600,200,0.62653268,,,,
25,600,300,0.41334102,,,,
25,600,400,0.41351828,,,,
25,600,500,0.41357228,,,,
25,600,600,0.20162074,,,,
25,600,700,0.201548,,,,
25,600,800,0.2016303,,,,
25,600,900,0.20153604,,,,
25,600,1000,0.2014347,,,,
25,700,100,0.83782774,,,,
25,700,200,0.62577312,,,,
25,700,300,0.41399412,,,,
25,700,400,0.4135577,,,,
25,700,500,0.41368914,,,,
25,700,600,0.20189208,,,,
25,700,700,0.2013124,,,,
25,700,800,0.20155524,,,,
25,700,900,0.20155248,,,,
25,700,1000,0.20152856,,,,
25,800,100,0.83776102,,,,
25,800,200,0.6264931,,,,
25,800,300,0.41353334,,,,
25,800,400,0.41364898,,,,
25,800,500,0.41399192,,,,
25,800,600,0.20146544,,,,
25,800,700,0.20145098,,,,
25,800,800,0.20170988,,,,
25,800,900,0.20162294,,,,
25,800,1000,0.20143526,,,,
25,900,100,0.83762786,,,,
25,900,200,0.62545758,,,,
25,900,300,0.41361076,,,,
25,900,400,0.4137503,,,,
25,900,500,0.41341796,,,,
25,900,600,0.20173102,,,,
25,900,700,0.20153396,,,,
25,900,800,0.20164724,,,,
25,900,900,0.2014085,,,,
25,900,1000,0.20154802,,,,
25,1000,100,0.83803134,,,,
25,1000,200,0.62617164,,,,
25,1000,300,0.41341136,,,,
25,1000,400,0.4136328,,,,
25,1000,500,0.41333404,,,,
25,1000,600,0.20152812,,,,
25,1000,700,0.201762,,,,
25,1000,800,0.20162124,,,,
25,1000,900,0.20177636,,,,
